objectid,shape,classcode,cnn,f_node_cnn,f_st,nhood,oneway,st_type,streetname,t_st,zip_code,slw_st,length,extents,status,phase,install_date,agency,type,supervisor_district,data_as_of,data_loaded_at
746,"LINESTRING (-122.407556405 37.726599246, -122.407056461 37.72539995)",5,11970000,20888000,BACON ST,Excelsior,B,ST,SOMERSET ST,WAYLAND ST,94134,1,0.08712809,Silver to Woolsey,Implemented,2,06/01/2020 05:00:00 PM,MTA,Non-local access,9,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
1747,"LINESTRING (-122.44470621 37.717995411, -122.445246154 37.717521261)",5,3843000,22082000,NIAGARA AVE,Outer Mission,B,AVE,CAYUGA AVE,SHAWNEE AVE,94112,1,0.04409505,Naglee to Rousseau,Implemented,3,07/31/2023 05:00:00 PM,MTA,Non-local access,11,09/20/2023 03:06:06 PM,01/18/2024 03:33:32 PM
1740,"LINESTRING (-122.429766351 37.73145973, -122.430578486 37.731234944)",5,3819000,21706000,ROUSSEAU ST,Outer Mission,B,AVE,CAYUGA AVE,ROTTECK ST,94112,1,0.04710893,Naglee to Rousseau,Implemented,3,07/31/2023 05:00:00 PM,MTA,Non-local access,11,09/20/2023 03:06:06 PM,01/18/2024 03:33:32 PM
1749,"LINESTRING (-122.443696073 37.718928673, -122.444190955 37.718470082)",5,3841000,22088000,GENEVA AVE,Outer Mission,B,AVE,CAYUGA AVE,SEMINOLE AVE,94112,1,0.04165773,Naglee to Rousseau,Implemented,3,07/31/2023 05:00:00 PM,MTA,Non-local access,11,09/20/2023 03:06:06 PM,01/18/2024 03:33:32 PM
1732,"LINESTRING (-122.439350074 37.722733433, -122.439764643 37.722069003)",5,3833000,22064000,VALERTON CT,Outer Mission,B,AVE,CAYUGA AVE,ONONDAGA AVE,94112,1,0.05114299,Naglee to Rousseau,Implemented,3,07/31/2023 05:00:00 PM,MTA,Non-local access,11,09/20/2023 03:06:06 PM,01/18/2024 03:33:32 PM
1759,"LINESTRING (-122.440947061 37.720184353, -122.441400989 37.719865362)",5,3837000,33428000,SUNBEAM LN,Outer Mission,B,AVE,CAYUGA AVE,JUNIOR TER,94112,1,0.03320247,Naglee to Rousseau,Implemented,3,07/31/2023 05:00:00 PM,MTA,Non-local access,11,09/20/2023 03:06:06 PM,01/18/2024 03:33:32 PM
445,"LINESTRING (-122.459279528 37.786913871, -122.460404199 37.786865758)",5,8009000,27578000,ARGUELLO BLVD,Presidio Heights,B,ST,LAKE ST,02ND AVE,94118,1,0.06164755,28th Avenue to Arguello Boulevard,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,"1, 2",11/23/2021 04:11:01 PM,01/18/2024 03:33:32 PM
1668,"LINESTRING (-122.42487023 37.739011396, -122.425277591 37.738209207)",5,2448000,21843000,FAIRMOUNT ST,Glen Park,B,ST,ARLINGTON ST,CHARLES ST,94131,1,0.05965418,Roanoke to Randall,Implemented,3,11/29/2020 04:00:00 PM,MTA,Non-local access,8,11/30/2020 03:25:20 PM,01/18/2024 03:33:32 PM
1670,"LINESTRING (-122.428993988 37.73548526, -122.42969864 37.735027419)",5,2453000,33378000,SAINT MARY'S AVE,Glen Park,B,ST,ARLINGTON ST,ROANOKE ST,94131,1,0.04986642,Roanoke to Randall,Implemented,3,11/29/2020 04:00:00 PM,MTA,Non-local access,8,11/30/2020 03:25:20 PM,01/18/2024 03:33:32 PM
3535,"LINESTRING (-122.421435247 37.755268223, -122.423181 37.755169794)",5,1194000,24117000,SAN JOSE AVE,Inner Mission,B,ST,22ND ST,GUERRERO ST,94110,1,0.09583423,Bryant to Chattanooga,Planned,,,MTA,,"8, 9",03/01/2023 02:13:09 PM,01/18/2024 03:33:32 PM
3544,"LINESTRING (-122.411579841 37.759084056, -122.41250093 37.759028146)",5,1049000,24028000,ALABAMA ST,Inner Mission,B,ST,20TH ST,HARRISON ST,94110,1,0.05058135,Shotwell to Potrero,Implemented,,02/28/2023 04:00:00 PM,MTA,,9,04/20/2023 11:12:17 AM,01/18/2024 03:33:32 PM
3541,"LINESTRING (-122.408903725 37.759246641, -122.409770121 37.75919401)",5,1046000,24006000,YORK ST,Inner Mission,B,ST,20TH ST,BRYANT ST,94110,1,0.04757801,Shotwell to Potrero,Implemented,,02/28/2023 04:00:00 PM,MTA,,9,04/20/2023 11:12:17 AM,01/18/2024 03:33:32 PM
1760,"LINESTRING (-122.432220515 37.730780434, -122.433035016 37.730554971)",5,3822000,21786000,DANTON ST,Outer Mission,B,AVE,CAYUGA AVE,LAMARTINE ST,94112,1,0.04724706,Naglee to Rousseau,Implemented,3,07/31/2023 05:00:00 PM,MTA,Non-local access,11,09/20/2023 03:06:06 PM,01/18/2024 03:33:32 PM
2569,"LINESTRING (-122.439737346 37.730732907, -122.442015664 37.730721768)",5,6862000,22132000,BADEN ST,Sunnyside,B,AVE,HEARST AVE,CONGO ST,94131,1,0.12479903,Ridgewood Avenue to Baden Street,Implemented,4,07/26/2021 05:00:00 PM,MTA,Non-local access,7,08/03/2021 11:50:20 AM,01/18/2024 03:33:32 PM
1743,"LINESTRING (-122.433035016 37.730554971, -122.433854274 37.730328184)",5,3823000,21792000,LAMARTINE ST,Outer Mission,B,AVE,CAYUGA AVE,BADGER ST,94112,1,0.04752329,Naglee to Rousseau,Implemented,3,07/31/2023 05:00:00 PM,MTA,Non-local access,11,09/20/2023 03:06:06 PM,01/18/2024 03:33:32 PM
1287,"LINESTRING (-122.492802443 37.774044593, -122.493867856 37.773995847)",5,3500000,27822000,33RD AVE,Outer Richmond,B,ST,CABRILLO ST,34TH AVE,94121,1,0.05842167,23rd Ave to 45th Ave,Implemented,3,10/20/2020 05:00:00 PM,MTA,Non-local access,1,04/28/2023 02:29:50 PM,01/18/2024 03:33:32 PM
3841,"LINESTRING (-122.449570826 37.777318749, -122.450458195 37.777204617)",5,6284000,26456000,ROSELYN TER,Lone Mountain,B,AVE,GOLDEN GATE AVE,KITTREDGE TER,94118,1,0.04920953,Masonic to Parker,Implemented,,02/28/2023 04:00:00 PM,MTA,,1,04/20/2023 12:07:52 PM,01/18/2024 03:33:32 PM
1289,"LINESTRING (-122.489579477 37.774191997, -122.49065134 37.774142985)",5,3497000,27814000,30TH AVE,Outer Richmond,B,ST,CABRILLO ST,31ST AVE,94121,1,0.05877512,23rd Ave to 45th Ave,Implemented,3,10/20/2020 05:00:00 PM,MTA,Non-local access,1,04/28/2023 02:29:50 PM,01/18/2024 03:33:32 PM
451,"LINESTRING (-122.485147938 37.78574601, -122.486223795 37.785697129)",5,8034000,27655000,25TH AVE,Outer Richmond,B,ST,LAKE ST,26TH AVE,94121,1,0.05898373,28th Avenue to Arguello Boulevard,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,1,11/23/2021 04:11:01 PM,01/18/2024 03:33:32 PM
1283,"LINESTRING (-122.49065134 37.774142985, -122.491723389 37.774093954)",5,3498000,27816000,31ST AVE,Outer Richmond,B,ST,CABRILLO ST,32ND AVE,94121,1,0.0587854,23rd Ave to 45th Ave,Implemented,3,10/20/2020 05:00:00 PM,MTA,Non-local access,1,04/28/2023 02:29:50 PM,01/18/2024 03:33:32 PM
440,"LINESTRING (-122.460404199 37.786865758, -122.461470836 37.786816064)",5,8010000,27579000,02ND AVE,Presidio Heights,B,ST,LAKE ST,03RD AVE,94118,1,0.05848228,28th Avenue to Arguello Boulevard,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,1,11/23/2021 04:11:01 PM,01/18/2024 03:33:32 PM
1284,"LINESTRING (-122.504579894 37.773505194, -122.505646709 37.773456276)",5,3511000,27970000,44TH AVE,Outer Richmond,B,ST,CABRILLO ST,45TH AVE,94121,1,0.0584994,23rd Ave to 45th Ave,Implemented,3,10/20/2020 05:00:00 PM,MTA,Non-local access,1,04/28/2023 02:29:50 PM,01/18/2024 03:33:32 PM
452,"LINESTRING (-122.484079805 37.78579453, -122.485147938 37.78574601)",5,8033000,27654000,24TH AVE,Outer Richmond,B,ST,LAKE ST,25TH AVE,94121,1,0.05856019,28th Avenue to Arguello Boulevard,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,1,11/23/2021 04:11:01 PM,01/18/2024 03:33:32 PM
431,"LINESTRING (-122.468974695 37.786482586, -122.470043747 37.786437146)",5,8018000,27609000,10TH AVE,Inner Richmond,B,ST,LAKE ST,11TH AVE,94118,1,0.05859812,28th Avenue to Arguello Boulevard,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,1,11/23/2021 04:11:01 PM,01/18/2024 03:33:32 PM
442,"LINESTRING (-122.462546556 37.78676805, -122.463617943 37.78672158)",5,8012000,27588000,04TH AVE,Inner Richmond,B,ST,LAKE ST,05TH AVE,94118,1,0.05872935,28th Avenue to Arguello Boulevard,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,1,11/23/2021 04:11:01 PM,01/18/2024 03:33:32 PM
449,"LINESTRING (-122.465760339 37.786627327, -122.465921529 37.786608485, -122.466830335 37.786568136)",5,8015000,27600000,07TH AVE,Inner Richmond,B,ST,LAKE ST,08TH AVE,94118,1,0.05873878,28th Avenue to Arguello Boulevard,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,1,11/23/2021 04:11:01 PM,01/18/2024 03:33:32 PM
3842,"LINESTRING (-122.450458195 37.777204617, -122.451346157 37.777090401)",5,6285000,26459000,KITTREDGE TER,Lone Mountain,B,AVE,GOLDEN GATE AVE,CHABOT TER,94118,1,0.04924257,Masonic to Parker,Implemented,,02/28/2023 04:00:00 PM,MTA,,1,04/20/2023 12:07:52 PM,01/18/2024 03:33:32 PM
2600,"LINESTRING (-122.443132454 37.776226036, -122.443321055 37.777164445)",5,8559000,26370000,FULTON ST,North Panhandle,B,ST,LYON ST,MCALLISTER ST,94117,1,0.06553826,Turk Street to Haight Street,Implemented,4,07/06/2021 05:00:00 PM,MTA,Non-local access,2,07/07/2021 04:22:50 PM,01/18/2024 03:33:32 PM
1611,"LINESTRING (-122.444119473 37.789457083, -122.445758037 37.789248416)",5,4118000,26841000,BAKER ST,Pacific Heights,B,ST,CLAY ST,LYON ST,94115,1,0.09083017,Arguello to Steiner,Implemented,3,10/05/2020 05:00:00 PM,MTA,Non-local access,2,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
1610,"LINESTRING (-122.445758037 37.789248416, -122.447148008 37.789071388)",5,4119000,26848000,LYON ST,Pacific Heights,B,ST,CLAY ST,PRESIDIO AVE,94115,1,0.07705037,Arguello to Steiner,Implemented,3,10/05/2020 05:00:00 PM,MTA,Non-local access,2,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
460,"LINESTRING (-122.44350692 37.778089213, -122.445155753 37.777886507)",5,6279000,26375000,LYON ST,Western Addition,B,AVE,GOLDEN GATE AVE,CENTRAL AVE,94115,1,0.09133498,Masonic to Parker,Implemented,2,06/09/2020 05:00:00 PM,MTA,Non-local access,2,04/20/2023 12:00:31 PM,01/18/2024 03:33:32 PM
17,"LINESTRING (-122.452055221 37.770312752, -122.453593183 37.770117077, -122.453726227 37.77009808)",5,10188000,26435000,SHRADER ST,Haight Ashbury,B,ST,PAGE ST,STANYAN ST,94117,1,0.0926736,Stanyan to Gough,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,5,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
20,"LINESTRING (-122.43556332 37.77241793, -122.437234932 37.772203713)",5,10178000,26028000,SCOTT ST,Western Addition,B,ST,PAGE ST,DIVISADERO ST,94117,1,0.09269755,Stanyan to Gough,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,5,10/13/2020 04:05:19 PM,01/18/2024 03:33:32 PM
